model family,model family label,xai,xai label,parameter,parameter label,parameter value,metric,metric label,factorial case-evaluations,mean,10th percentile,90th percentile
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,edit L1,Normalized edit distance (L1),840,0.38406638950300287,0.0,0.8833164835828212
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,plausibility,Plausibility,840,0.9455185021253052,0.8934635734178595,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,success,Counterfactual success rate,840,0.37023809523809526,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,target confidence gain,Target-confidence gain,840,0.35015849315903746,-1.880527463209436e-05,0.9854774533498315
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,actionability,Actionability rate,840,0.8714285714285714,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,boundary improvement,Boundary-distance improvement,840,0.002146776288907171,-0.16418504590465782,0.15691291660169054
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,edit L1,Normalized edit distance (L1),840,0.4240162473813709,0.0,0.9766579613096096
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,plausibility,Plausibility,840,0.9465199964257462,0.9021764731655438,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,success,Counterfactual success rate,840,0.3523809523809524,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,target confidence gain,Target-confidence gain,840,0.34861928989838936,-1.8806222399869733e-05,0.985477631631805
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,actionability,Actionability rate,840,0.9666666666666667,1.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,boundary improvement,Boundary-distance improvement,840,0.026077691224357134,-0.09969623983857662,0.19510850790843576
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,edit L1,Normalized edit distance (L1),840,0.3424560686288293,0.0,0.8795677663505387
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,plausibility,Plausibility,840,0.9532729062202605,0.9108435342038799,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,success,Counterfactual success rate,840,0.4226190476190476,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,target confidence gain,Target-confidence gain,840,0.40891521603017417,0.0,0.9854769204976138
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,actionability,Actionability rate,360,0.95,1.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,boundary improvement,Boundary-distance improvement,360,0.009888715421515022,0.0,0.034998699060397744
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,edit L1,Normalized edit distance (L1),360,0.033663484050804854,0.0,0.14326846663197793
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,plausibility,Plausibility,360,0.9795712403417307,0.9326486293480933,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,success,Counterfactual success rate,360,0.013888888888888888,0.0,0.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,target confidence gain,Target-confidence gain,360,0.01563939026929425,0.0,0.003388513933534318
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.2,actionability,Actionability rate,360,0.9166666666666666,1.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.2,boundary improvement,Boundary-distance improvement,360,0.02479563544108129,-0.007932333613402055,0.11070259395765467
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.2,edit L1,Normalized edit distance (L1),360,0.08179988839270104,0.0,0.26392440404995055
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.2,plausibility,Plausibility,360,0.9746536569607893,0.9339384191212899,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.2,success,Counterfactual success rate,360,0.075,0.0,0.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.2,target confidence gain,Target-confidence gain,360,0.07174186867610123,0.0,0.1953277997145393
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.1,actionability,Actionability rate,360,0.8805555555555555,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.1,boundary improvement,Boundary-distance improvement,360,0.041208576135004615,-0.030093713627222574,0.19485050057153905
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.1,edit L1,Normalized edit distance (L1),360,0.17133284690339348,0.0,0.4181503229191212
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.1,plausibility,Plausibility,360,0.9664274038438789,0.9312003765202503,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.1,success,Counterfactual success rate,360,0.15555555555555556,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.1,target confidence gain,Target-confidence gain,360,0.1738920322514802,-1.8376292770794483e-06,0.790158993476693
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),0.0,actionability,Actionability rate,360,0.7777777777777778,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),0.0,boundary improvement,Boundary-distance improvement,360,0.04119430366842533,-0.0627967041780246,0.2049053275781504
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),0.0,edit L1,Normalized edit distance (L1),360,0.3119782985019037,0.022627350979344776,0.6181503229191212
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),0.0,plausibility,Plausibility,360,0.9520766003240286,0.9200114352515268,0.9945917504083811
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),0.0,success,Counterfactual success rate,360,0.37777777777777777,0.0,1.0
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),0.0,target confidence gain,Target-confidence gain,360,0.34546600938140787,-5.803821254110955e-05,0.9641701715706897
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),0.1,actionability,Actionability rate,360,0.7777777777777778,0.0,1.0
