participant,xai,case,instance id,selected model family,possible subsets,mean selection F1,mean amount MAE,mean direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,simulated boundary improvement,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1
R_5gkJQXcSCkjRBmu,none,15,160216,weighted examples,6,0.7185649330127409,0.15463497675207877,1.0,1.0,0.6962373277572387,0.705844868579,0.47378828521797656,0.0164208559224,-0.017415320841766616,0.955677808432,0.9422331775917648,1.0,1.0000000000000002,0.505153696352,0.6159694898255816
R_5gkJQXcSCkjRBmu,none,16,160219,weighted examples,4,0.8739773140501322,0.0752763600158382,1.0,0.0,0.37806805784960307,-0.0512830365312,0.29425652278589276,-0.140170144681,-0.0651642575822855,0.928856003826,0.9338940622015873,1.0,0.9999999999999999,1.007275252007,0.8280338757117669
R_5gkJQXcSCkjRBmu,none,17,160218,weighted examples,6,0.49084902581774265,0.15571459246016658,1.0,0.0,0.41991520134617083,0.224152265706,0.48418306204017103,0.0652335596025,0.014915841288236989,0.93675283835,0.93490910131383,1.0,1.0,0.39445005635200003,0.5025397791589306
R_5gkJQXcSCkjRBmu,none,18,160206,weighted examples,4,0.8697405380587184,0.0796933437833148,1.0,0.0,0.20723209415580288,0.0372373976549,0.11561616357899923,0.499204431656,0.4333576260411388,0.945610335453,0.9318845682004478,1.0,1.0,1.234485909273,1.2149213726298318
R_5gkJQXcSCkjRBmu,none,19,160207,weighted examples,4,0.8423761056956443,0.08572208232684582,1.0,0.0,0.1959682623795792,0.00716479407648,0.4310038295597476,0.125425060581,0.1435605985412715,0.962899736059,0.9373066411420079,1.0,1.0,0.973398346358,1.0023625628799289
R_5gkJQXcSCkjRBmu,none,20,160217,weighted examples,4,0.695271303206534,0.1334567118126294,1.0,1.0,0.16922161801998603,0.74978411971,0.3676994653029709,-0.0147295313455,0.0142203276096179,0.92582084655,0.9287411551961785,1.0,0.9999999999999998,0.8624940986359999,0.8792455526882376
R_5tEkygPCjFKzz2T,counterfactual,1,160214,weighted examples,10,0.4537221212234803,0.06884274966762445,1.0,1.0,0.9932831103908419,0.957786857817,0.9803330136391523,-0.0052369893123,-0.05799823630785751,0.971945326906,0.9591760962261702,1.0,1.0,0.1402733654668,0.2153185498513296
R_5tEkygPCjFKzz2T,counterfactual,2,160201,weighted examples,10,0.5652284328966654,0.2557280374212302,1.0,1.0,0.0,0.99796239999,0.0035395295744555986,0.178268804008,0.12400732243352772,0.956971885927,0.9309370352348867,1.0,0.9999999999999999,0.816804523459,0.2944342261846772
R_5tEkygPCjFKzz2T,counterfactual,3,160212,weighted examples,10,0.42877403184346113,0.10371237505513009,1.0,1.0,0.8442288682101323,0.985477406528,0.8771364910770201,-0.0914797679806,-0.04039423619090008,0.940046877472,0.9582759701943668,1.0,1.0,0.29976561264199997,0.21952735650550087
R_5tEkygPCjFKzz2T,counterfactual,4,160202,weighted examples,10,0.5925471842217288,0.08555764364914505,1.0,1.0,0.9872177775794889,0.919111977741,0.9494011754616216,0.00724933195548,-0.03636475992644937,0.955235309044,0.9589394756118086,1.0,1.0,0.223823454781,0.21880545886659133
R_5tEkygPCjFKzz2T,counterfactual,5,160211,weighted examples,5,0.9592502925880955,0.10069822327890829,1.0,0.0,0.9581035024546941,0.0498420561619,0.8445763453929267,-0.000817088446074,0.045231910007264904,0.951383745366,0.9607420596124316,1.0,1.0,0.6278090754748,0.4132033276203074
R_5tEkygPCjFKzz2T,counterfactual,6,160203,weighted examples,10,0.5295944124264182,0.08060419288652398,1.0,1.0,0.9672930169479013,0.965497276519,0.921298695673554,-0.0165303607989,-0.06780491304350081,0.944965144507,0.9478514388996103,1.0,1.0,0.27517427746309997,0.26074280550194895
R_5tEkygPCjFKzz2T,counterfactual,7,160200,weighted examples,10,0.7749697402240382,0.049599273672285164,1.0,0.0,0.325397353543906,0.313231960833,0.4754615469999205,0.0512809456442,0.054074210660046064,0.940505596083,0.9374593560347779,1.0,0.9999999999999999,0.2861196706102,0.3350321392693874
R_5tEkygPCjFKzz2T,counterfactual,8,160210,weighted examples,10,0.45091913890565605,0.1957385020425373,1.0,1.0,0.9562204101605656,0.952562458294,0.9186711150207749,0.0316710806069,-0.02515528451985679,0.958231491701,0.9287803276468226,1.0,1.0,0.576111360151,0.2242614721549495
R_5tEkygPCjFKzz2T,counterfactual,9,160213,weighted examples,10,0.6293830405999149,0.15280066806267634,1.0,1.0,0.5265096591551977,0.991692706512,0.5201973522551177,-0.0143915050928,0.024611780503681437,0.973553408451,0.956126340939775,1.0,1.0000000000000002,0.4644262253923,0.21936829530112598
R_5tEkygPCjFKzz2T,counterfactual,10,160204,weighted examples,10,0.5427067727254049,0.07326635396021214,1.0,1.0,0.9999999999999999,0.854138546174,0.966557592029316,0.0165561921559,-0.10025090515605486,0.986136335402,0.9560674800225232,1.0,0.9999999999999999,0.0693183229883,0.21966259988738324
R_5tEkygPCjFKzz2T,counterfactual,11,160206,weighted examples,10,0.7527547770540002,0.09162818509921408,1.0,0.0,0.0,1.68992140079e-05,8.619220529674654e-06,0.358711377919,0.24936443817213677,0.941675669711,0.9430895395570602,1.0,1.0,0.5435774051677,0.4383674709395904
R_5tEkygPCjFKzz2T,counterfactual,12,160218,weighted examples,10,0.5562773878039143,0.09031359373850567,1.0,1.0,0.8360295558038076,0.848788864868,0.7702274902348812,0.0497726291394,-0.0066064520474839435,0.949807955716,0.9472530460406205,1.0,0.9999999999999999,0.276107846611,0.2657133134345701
R_5tEkygPCjFKzz2T,counterfactual,13,160209,weighted examples,10,0.5181140145012266,0.11340851839507968,1.0,0.0,0.12551602982069915,-4.01249977899e-06,0.16617315761421464,0.0600799589463,0.16311106961937555,0.915488900741,0.9400148778010656,0.0,1.0,0.518199503485,0.444316696980085
R_5tEkygPCjFKzz2T,counterfactual,14,160205,weighted examples,10,0.813507282988679,0.09710195982762358,1.0,0.0,0.0,0.158190106857,0.19831125762943,0.226110249076,0.21935613235568927,0.953385488141,0.9409601936211559,1.0,0.9999999999999999,0.668734761169,0.4387212944345891
R_5tEkygPCjFKzz2T,counterfactual,15,160219,weighted examples,10,0.6069663023769679,0.08765729426882542,1.0,1.0,0.9268902548816501,0.927983148081,0.6814967944616237,-0.0468917064066,-0.014627766522589698,0.963280465626,0.9515157543092838,1.0,0.9999999999999999,0.351128186961,0.287314844806558
R_5tEkygPCjFKzz2T,counterfactual,16,160207,weighted examples,10,0.5267968144515682,0.12000737665151859,1.0,0.0,0.1013457814172308,-2.56564894507e-06,0.12128081782548646,-0.0060496541765,0.11316632283171588,0.933840220371,0.9392818140207724,0.0,1.0,0.330798898144,0.4463461073677556
R_5tEkygPCjFKzz2T,counterfactual,17,160208,weighted examples,10,0.5251703729080498,0.11050720413181829,1.0,0.0,0.9273157557491137,0.0132227966523,0.9200438974079796,0.016631950595,-0.04085441161885528,0.938577757726,0.9256808202108264,0.0,1.0,0.3071112113716,0.423152052711329
