participant,xai,wave,slope_type,outcome,slope
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,boundary_new,-0.01821675917823165
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,boundary_improvement,0.04899569152489215
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,success,-0.2688040905524773
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,confidence_gain,-0.28239382357466003
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,edit_l1,-0.0982860934494808
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,target_helpful_shap,-0.19841724907284758
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,cf_demo_cosine,-0.1292258924910759
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,attribution_feature_overlap,-0.06828491010002452
R_5ASRudX4WuOaMDD,counterfactual,original_36,test_trial,response_time,0.2602890706517495
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,boundary_new,0.01315374603300215
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,boundary_improvement,0.02756222757220367
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,success,-0.22978414192389185
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,confidence_gain,-0.22542018311882497
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,edit_l1,0.08214103001964815
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,target_helpful_shap,-0.08581937109167304
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,cf_demo_cosine,0.10452886259884178
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,attribution_feature_overlap,0.050220119068271944
R_5CNiW73tAkn7Lk5,none,original_36,test_trial,response_time,0.6282862061679393
R_5F38AMuOCY994Y9,none,new_26,test_trial,boundary_new,0.008807607064880579
R_5F38AMuOCY994Y9,none,new_26,test_trial,boundary_improvement,0.019424363709373352
R_5F38AMuOCY994Y9,none,new_26,test_trial,success,-0.28614628994295965
R_5F38AMuOCY994Y9,none,new_26,test_trial,confidence_gain,-0.2760194446605357
