slope_type,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_slope_type
original_boundary_distance,boundary_improvement,counterfactual - none,27,19,0.1002100742730967,0.10225695016992313,-0.002046875896826436,-0.02765986849333803,0.024936779767417906,0.86025,0.878976727157401,-0.04943315335200709,0.9655348101265824,0.868
original_boundary_distance,boundary_new,counterfactual - none,27,19,0.02651083935684331,0.024463963460016884,0.0020468758968264257,-0.024702858228420825,0.025909802276304482,0.868,0.8789767271574016,0.04943315335200684,0.9655348101265824,0.868
test_trial,target_helpful_shap,attribution - none,16,19,-0.05177193564579022,-0.045891141514429426,-0.005880794131360792,-0.07987099614945474,0.0709957948052352,0.871,0.8792234657236246,-0.05018737924735069,0.9655348101265824,0.997
nearest_training_distance,success,counterfactual - none,27,19,0.004231601444451539,0.008927066324048914,-0.004695464879597375,-0.06002978639794523,0.05338990932076746,0.87125,0.8691371168272618,-0.04746629689122979,0.9655348101265824,0.96775
test_trial,edit_l1,counterfactual - attribution,27,16,0.0031303403212427938,-0.0036950219320347156,0.00682536225327751,-0.06766817731132313,0.07777222998114712,0.87675,0.8568897359309129,0.04585758901472868,0.9655348101265824,0.997
test_trial,boundary_improvement,counterfactual - none,27,19,0.028965720266372626,0.030401098392697213,-0.0014353781263245873,-0.02192933419098079,0.017767321724583823,0.899,0.8899907593722884,-0.03899640658477164,0.9776625000000001,0.997
test_trial,boundary_new,counterfactual - none,27,19,0.003769347140630991,0.003157441980641497,0.0006119051599894941,-0.019435433338233245,0.020436091047422396,0.95125,0.9519526234512639,0.017550384410874337,0.9790029069767442,0.997
test_trial,target_helpful_shap,counterfactual - none,27,19,-0.043731487211319954,-0.045891141514429426,0.002159654303109472,-0.07485080209253885,0.07790771201399051,0.95975,0.9580549657600339,0.014904144446606158,0.9790029069767442,0.997
nearest_training_distance,confidence_gain,counterfactual - none,27,19,-0.013084076188723717,-0.01413458338303396,0.0010505071943102424,-0.04610453577879821,0.05006894199706069,0.96325,0.9656487972390191,0.01206333530855396,0.9790029069767442,0.96775
nearest_training_distance,target_helpful_shap,counterfactual - attribution,27,16,-0.020482632119428263,-0.021186075400386927,0.0007034432809586641,-0.02886569267481154,0.03113230435394209,0.96525,0.963264777744439,0.012880718624842354,0.9790029069767442,0.96775
test_trial,success,counterfactual - none,27,19,-0.10662241106741037,-0.10907330669277095,0.0024508956253605774,-0.09974469086079508,0.11697744508455878,0.96625,0.9659887612715379,0.012556310705745468,0.9790029069767442,0.997
nearest_training_distance,edit_l1,counterfactual - attribution,27,16,-0.028170606680632267,-0.027376801700366105,-0.000793804980266162,-0.030024021817426205,0.027570944559181843,0.96775,0.959588013373097,-0.0136935262131432,0.9790029069767442,0.96775
test_trial,attribution_feature_overlap,counterfactual - none,27,19,-0.020861488310001616,-0.02077641124346611,-8.507706653550565e-05,-0.03616854989538753,0.03471091493622193,0.997,0.996429507067107,-0.0013445062129897724,0.997,0.997
