moderator,level_contrast,instances_level_a,instances_level_b,outcome,condition_comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_moderator
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,success,counterfactual - none,27,19,-0.32534495279593323,-0.27244582043343657,-0.05289913236249666,-0.20939303596682324,0.09889156442304015,0.5254,0.5106632760529013,-0.18858974394720632,0.9349732620320855,0.8280000000000001
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,target_helpful_shap,counterfactual - attribution,27,16,-0.006591850525185198,0.010032798593312516,-0.016624649118497713,-0.06322415541059127,0.031129377389216385,0.5264,0.5115134115261275,-0.17950539230588386,0.9349732620320855,0.7484347826086956
pair_seen_in_training_group,novel_pair - seen_pair,12,8,confidence_gain,counterfactual - attribution,27,16,-0.008125819041660388,-0.050700221706542536,0.04257440266488215,-0.08472224150264335,0.16174665745088387,0.5306,0.5192907186530146,0.19775702908931636,0.9349732620320855,0.7874285714285715
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,attribution_feature_overlap,attribution - none,16,19,0.09281249999999999,0.06096491228070176,0.031847587719298236,-0.06627590460526318,0.14067982456140352,0.5368,0.5717567754887722,0.19534521480080305,0.9349732620320855,0.7484347826086956
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,success,counterfactual - attribution,27,16,0.27654320987654324,0.3333333333333333,-0.056790123456790076,-0.21420910493827156,0.1095794753086419,0.5368,0.517269483110954,-0.18749990510840012,0.9349732620320855,0.9566
nearest_same_training_distance_bucket,far_training - near_training,10,10,attribution_feature_overlap,attribution - none,16,19,0.007187500000000006,-0.033245614035087724,0.04043311403508773,-0.08446189692982455,0.17115734649122774,0.5416,0.5533874674139324,0.19930641314864075,0.9349732620320855,0.8743448275862068
control_empirical_difficulty_group,control_easy - control_hard,10,10,target_helpful_shap,counterfactual - none,27,19,-0.010288779291111107,0.012560193753157893,-0.022848973044269,-0.09268823215771782,0.04218356590084551,0.5428,0.5183392582935915,-0.17961835765933154,0.9349732620320855,0.9362
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,cf_demo_feature_jaccard,attribution - none,16,19,0.09281249999999999,0.06096491228070176,0.031847587719298236,-0.06913678728070174,0.14073519736842105,0.545,0.5717567754887722,0.19534521480080305,0.9349732620320855,0.7484347826086956
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,target_centroid_progress,counterfactual - attribution,27,16,0.16098521019171305,0.13743751654144937,0.023547693650263685,-0.05678690833079861,0.10209912955643285,0.548,0.5711787351161943,0.18669133662221057,0.9349732620320855,0.7484347826086956
design_cluster_group,cluster_1 - cluster_2,10,10,cf_demo_cosine,counterfactual - none,27,19,0.12239720762519807,0.1707759397703458,-0.048378732145147735,-0.1892102634987213,0.10751572441507816,0.5492,0.5496844301509245,-0.17820436012839935,0.9349732620320855,0.7595454545454546
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,attribution_feature_overlap,counterfactual - none,27,19,-0.03925199709513435,-0.0629342965256278,0.023682299430493457,-0.05425771445680287,0.10228404617207494,0.5502,0.5656010121645593,0.17239920504970135,0.9349732620320855,0.8280000000000001
pair_seen_in_training_group,novel_pair - seen_pair,12,8,success,counterfactual - none,27,19,0.010802469135802475,-0.03070175438596492,0.0415042235217674,-0.08187743664717347,0.16563921377517857,0.5512,0.5279877804225666,0.18131304398790007,0.9349732620320855,0.7874285714285715
design_cluster_group,cluster_1 - cluster_2,10,10,cf_demo_cosine,counterfactual - attribution,27,16,0.12239720762519807,0.06868713312509235,0.05371007450010572,-0.11327715159617875,0.23924433547832172,0.5514,0.553540917123759,0.19090485795356732,0.9349732620320855,0.7595454545454546
nearest_same_training_distance_bucket,far_training - near_training,10,10,cf_demo_feature_jaccard,attribution - none,16,19,0.007187500000000006,-0.033245614035087724,0.04043311403508773,-0.09549259868421053,0.16799150219298228,0.5548,0.5533874674139324,0.19930641314864075,0.9349732620320855,0.8743448275862068
design_cluster_group,cluster_1 - cluster_2,10,10,target_helpful_shap,counterfactual - none,27,19,0.0552367887162963,0.036041600985789485,0.019195187730506817,-0.044119655034902984,0.08400918709139664,0.557,0.5792329677452448,0.15913968619483965,0.9349732620320855,0.7595454545454546
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,cf_demo_feature_jaccard,counterfactual - none,27,19,-0.03925199709513435,-0.0629342965256278,0.023682299430493457,-0.05482664768311483,0.09911973333842958,0.558,0.5656010121645593,0.17239920504970135,0.9349732620320855,0.8280000000000001
control_empirical_difficulty_group,control_easy - control_hard,10,10,success,attribution - none,16,19,-0.11249999999999999,-0.07368421052631578,-0.038815789473684206,-0.15361842105263152,0.0825657894736842,0.5598,0.5230343006625882,-0.21632755457840824,0.9349732620320855,0.9362
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,target_centroid_progress,counterfactual - attribution,27,16,-0.13740639326335888,-0.08559525316309403,-0.051811140100264844,-0.2243704746188489,0.12206470747639844,0.5598,0.5696694566931775,-0.18723311208745766,0.9349732620320855,0.9566
nearest_same_training_distance_bucket,far_training - near_training,10,10,edit_l1,counterfactual - none,27,19,-0.004821285754532252,-0.03211980462996369,0.027298518875431436,-0.06077583156961418,0.11156295538828113,0.5604,0.5454696760941632,0.17420578621169278,0.9349732620320855,0.8743448275862068
nearest_same_training_distance_bucket,far_training - near_training,10,10,cf_demo_cosine,counterfactual - attribution,27,16,-0.020447085404103556,0.018648507553479472,-0.039095592957583025,-0.17969426707764335,0.09240895369154899,0.5698,0.5902217746057742,-0.17921029161334903,0.9349732620320855,0.8743448275862068
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,boundary_new,attribution - none,16,19,0.045254287285,0.035862494900526315,0.009391792384473685,-0.022844881817257398,0.04249135157759619,0.5734,0.5766139381052381,0.18164159550301695,0.9349732620320855,0.7484347826086956
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,boundary_improvement,attribution - none,16,19,0.09729678454499999,0.10668857692947369,-0.009391792384473699,-0.04176508804175327,0.021552639859148855,0.5738,0.5766139381052373,-0.18164159550301723,0.9349732620320855,0.7484347826086956
control_empirical_difficulty_group,control_easy - control_hard,10,10,target_centroid_progress,attribution - none,16,19,-0.012754623601006829,-0.03170328842582856,0.018948664824821736,-0.04294232807454769,0.07799013970535495,0.5746,0.567699813603723,0.18852455039403904,0.9349732620320855,0.9362
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,attribution_feature_overlap,attribution - none,16,19,-0.08919526143790849,-0.0629342965256278,-0.02626096491228068,-0.12010868163054692,0.06979725662194697,0.5756,0.598059018304594,-0.17769891544769062,0.9349732620320855,0.8280000000000001
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,cf_demo_feature_jaccard,attribution - none,16,19,-0.08919526143790849,-0.0629342965256278,-0.02626096491228068,-0.12617166000172,0.06858270446336424,0.5796,0.598059018304594,-0.17769891544769062,0.9349732620320855,0.8280000000000001
target_label_group,Diabetes - No Diabetes,10,10,cf_demo_feature_jaccard,counterfactual - none,27,19,-0.03574074074074074,-0.06008771929824562,0.02434697855750488,-0.0559633690708252,0.10773489278752436,0.5818,0.5840420793678667,0.16408806130285794,0.9349732620320855,0.9766
target_label_group,Diabetes - No Diabetes,10,10,attribution_feature_overlap,counterfactual - none,27,19,-0.03574074074074074,-0.06008771929824562,0.02434697855750488,-0.05979572774528914,0.11053606237816763,0.5828,0.5840420793678667,0.16408806130285794,0.9349732620320855,0.9766
pair_seen_in_training_group,novel_pair - seen_pair,12,8,success,counterfactual - attribution,27,16,0.010802469135802475,-0.028645833333333322,0.0394483024691358,-0.09772376543209878,0.1828800154320987,0.5956,0.5968218196437073,0.16350000625196506,0.9453968253968255,0.8121818181818182
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,cf_demo_feature_jaccard,counterfactual - none,27,19,0.03115226337448559,-0.0001754385964912292,0.03132770197097682,-0.08272406324453106,0.14472936972059772,0.5956,0.5951984467232515,0.1577649735451997,0.9453968253968255,0.9566
nearest_same_training_distance_bucket,far_training - near_training,10,10,success,attribution - none,16,19,-0.01249999999999999,0.02105263157894737,-0.03355263157894736,-0.1394736842105263,0.06810855263157886,0.605,0.5468147616997079,-0.20201918617938366,0.9541836734693877,0.8743448275862068
control_empirical_difficulty_group,control_easy - control_hard,10,10,target_centroid_progress,counterfactual - none,27,19,-0.049538222776421954,-0.03170328842582856,-0.01783493435059339,-0.0820130519751867,0.04529288626092424,0.6116,0.6075181523643469,-0.14726209350313793,0.9541836734693877,0.9362
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,attribution_feature_overlap,counterfactual - none,27,19,0.03115226337448559,-0.0001754385964912292,0.03132770197097682,-0.08326445743989604,0.13931687242798352,0.6126,0.5951984467232515,0.1577649735451997,0.9541836734693877,0.9566
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,success,counterfactual - attribution,27,16,0.01587301587301589,-0.020833333333333322,0.036706349206349215,-0.0923983134920635,0.15342813051146362,0.6178,0.5803642593278149,0.1637933546805473,0.9541836734693877,0.80475
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,target_centroid_progress,attribution - none,16,19,-0.08559525316309403,-0.13170716089656084,0.04611190773346681,-0.13862499024354472,0.2360925528542864,0.6212,0.6445522346850567,0.15574509768867856,0.9541836734693877,0.9566
target_label_group,Diabetes - No Diabetes,10,10,target_centroid_progress,attribution - none,16,19,0.0071782986383893965,-0.040490858302422265,0.04766915694081166,-0.14558124487625765,0.2527160599772367,0.623,0.6552775029881809,0.15251100028228456,0.9541836734693877,0.9766
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,boundary_new,counterfactual - none,27,19,0.028944976976296295,0.035862494900526315,-0.00691751792423002,-0.03689491362748586,0.020820906853603775,0.6234,0.6542958951085749,-0.14137942028681336,0.9541836734693877,0.76056
