outcome,family,comparison,group_a,group_b,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,beneficial_hedges_g,q_global,q_within_family
cf_demo_delta_l1_error,counterfactual_alignment,attribution - none,attribution,none,16,19,0.5155777290123316,0.5788201733544827,-0.0632424443421511,-0.19626101852235592,0.05958735423261947,0.3727,0.35192653909145855,-0.29960265031515765,0.0632424443421511,0.29960265031515765,0.8713894736842105,0.9075500000000001
actionability,quality,counterfactual - none,counterfactual,none,27,19,0.8814814814814814,0.9315789473684211,-0.05009746588693964,-0.14922514619883034,0.044057017543859725,0.3821,0.3319771542104787,-0.26922108688414187,-0.05009746588693964,-0.26922108688414187,0.8713894736842105,0.9917
cf_demo_feature_jaccard,counterfactual_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.36854938271604937,0.33796875,0.030580632716049383,-0.04262080439814814,0.09867992862654336,0.3921,0.40777550978046995,0.2640315657602164,0.030580632716049383,0.2640315657602164,0.8713894736842105,0.9075500000000001
distance_to_minimal_cf,cost,attribution - none,attribution,none,16,19,0.551228780285625,0.6100891840044737,-0.0588604037188486,-0.18870640545227585,0.06428916060241031,0.402,0.38065708171228674,-0.28116872312546154,0.0588604037188486,0.28116872312546154,0.8713894736842105,0.6890142857142857
attribution_feature_overlap,attribution_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.36854938271604937,0.33796875,0.030580632716049383,-0.040708140432098694,0.09958150077160499,0.4034,0.40777550978046995,0.2640315657602164,0.030580632716049383,0.2640315657602164,0.8713894736842105,0.7008
helpful_shap_efficiency,attribution_alignment,attribution - none,attribution,none,16,19,0.59735268728815,0.6764461955414256,-0.07909350825327555,-0.2535233424806824,0.10144722701085872,0.4088,0.40052105475323874,-0.2746128817496244,-0.07909350825327555,-0.2746128817496244,0.8713894736842105,0.7008
edit_l1,cost,counterfactual - attribution,counterfactual,attribution,27,16,0.5222476868402125,0.4607197265716947,0.06152796026851781,-0.07250851063785,0.20366204750126485,0.4723,0.40068780665306336,0.23975338972474608,-0.06152796026851781,-0.23975338972474608,0.8968499999999999,0.6890142857142857
boundary_new,performance,counterfactual - attribution,counterfactual,attribution,27,16,0.1275865894114815,0.11680481899375,0.010781770417731484,-0.010087591220696789,0.035474262091883084,0.4794,0.3641535297659365,0.23396071548791836,-0.010781770417731484,-0.23396071548791836,0.8968499999999999,0.7121999999999999
cf_demo_delta_l1_error,counterfactual_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.5792473434330144,0.5155777290123316,0.06366961442068286,-0.0507896956558266,0.20343135384491987,0.4847,0.3394314897708057,0.2541489906495136,-0.06366961442068286,-0.2541489906495136,0.8968499999999999,0.9075500000000001
cf_demo_sign_agreement,counterfactual_alignment,counterfactual - none,counterfactual,none,27,19,0.6037037037037037,0.6592105263157894,-0.055506822612085616,-0.20449561403508754,0.08923245614035104,0.4869,0.4745069502384197,-0.2088910220421993,-0.055506822612085616,-0.2088910220421993,0.8968499999999999,0.9075500000000001
