context,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_within_context
full,cf_demo_cosine,attribution - none,16,19,0.39235989874983557,0.3944997383680535,-0.0021398396182179535,-0.12502589078501036,0.12446258426789353,0.97375,0.9750542421265783,-0.010578265800660042,-0.0021398396182179535,0.9925
full,confidence_gain,attribution - none,16,19,0.5278311067828222,0.5271325089183146,0.0006985978645075441,-0.1251837238235903,0.12167983368250193,0.9925,0.9918979988222743,0.0033076031266458944,0.0006985978645075441,0.9925
new_wave,attribution_feature_overlap,counterfactual - none,12,8,0.4047222222222222,0.2967708333333333,0.10795138888888889,0.02564236111111102,0.18805902777777758,0.03325,0.028464480331479854,0.9910524650989084,0.10795138888888889,0.58875
new_wave,cf_demo_feature_jaccard,counterfactual - none,12,8,0.4047222222222222,0.2967708333333333,0.10795138888888889,0.026173611111111043,0.19064409722222206,0.03925,0.028464480331479854,0.9910524650989084,0.10795138888888889,0.58875
new_wave,edit_l1,counterfactual - none,12,8,0.5327174210087608,0.3686723274177762,0.16404509359098463,0.03004279749481678,0.30862093729952167,0.08025,0.054539485596661955,0.8081203483027287,-0.16404509359098463,0.8025000000000001
new_wave,cf_demo_feature_jaccard,counterfactual - attribution,12,6,0.4047222222222222,0.31375000000000003,0.09097222222222218,-0.04090451388888895,0.20944965277777777,0.1655,0.21460143321362202,0.6979521785859997,0.09097222222222218,0.9731896551724138
new_wave,attribution_feature_overlap,counterfactual - attribution,12,6,0.4047222222222222,0.31375000000000003,0.09097222222222218,-0.03453125000000006,0.20925868055555547,0.167,0.21460143321362202,0.6979521785859997,0.09097222222222218,0.9731896551724138
new_wave,target_helpful_shap,counterfactual - none,12,8,0.2712929406920833,0.1911302915525,0.08016264913958332,-0.024885780228932293,0.19019840147082798,0.20475,0.1856598854891802,0.5588512849012717,0.08016264913958332,0.9731896551724138
new_wave,target_helpful_shap,attribution - none,6,8,0.27763228037666665,0.1911302915525,0.08650198882416665,-0.06650050903168753,0.2415491834514167,0.294,0.341009228008933,0.5567343896289387,0.08650198882416665,0.9731896551724138
new_wave,confidence_gain,attribution - none,6,8,0.5012573037370026,0.409917238939043,0.09134006479795959,-0.11225141550722555,0.3075374293797349,0.4085,0.4551215939211961,0.42953975925825955,0.09134006479795959,0.9731896551724138
new_wave,edit_l1,counterfactual - attribution,12,6,0.5327174210087608,0.4395269071411358,0.09319051386762506,-0.09567276329074464,0.3115350675837232,0.421,0.426847118127359,0.39294039275310855,-0.09319051386762506,0.9731896551724138
new_wave,edit_l1,attribution - none,6,8,0.4395269071411358,0.3686723274177762,0.07085457972335957,-0.11326253563307373,0.2518235571165076,0.4475,0.5098527426850382,0.3785864326309057,-0.07085457972335957,0.9731896551724138
new_wave,boundary_new,counterfactual - attribution,12,6,0.10955203571375,0.11925285500833331,-0.009700819294583315,-0.03210964471860416,0.015935556420552045,0.494,0.4712889458852412,-0.3297741189773889,0.009700819294583315,0.9731896551724138
new_wave,boundary_improvement,counterfactual - attribution,12,6,0.013325509881250003,0.0036246905866666695,0.009700819294583333,-0.01466074702534375,0.032386178083114565,0.50325,0.4712889458852405,0.3297741189773895,0.009700819294583333,0.9731896551724138
new_wave,boundary_new,counterfactual - none,12,8,0.10955203571375,0.122449559311875,-0.012897523598125002,-0.05578795371556771,0.025651126796020822,0.53075,0.5678552862364157,-0.29218625915375696,0.012897523598125002,0.9731896551724138
new_wave,boundary_improvement,counterfactual - none,12,8,0.013325509881250003,0.00042798628312500087,0.012897523598125002,-0.023648035398515628,0.058710100817677045,0.5485,0.5678552862364157,0.29218625915375696,0.012897523598125002,0.9731896551724138
