moderator,level,n_instances,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_global,q_within_moderator
oracle_pair_uses_age_group,no_age_pair,17,attribution_feature_overlap,attribution - none,16,19,0.35134803921568625,0.37141382868937045,-0.020065789473684204,-0.0928112906346749,0.04612035603715153,0.59,0.5956829019343606,-0.17848632125250877,-0.020065789473684204,1.0,0.9370731707317074
design_cluster_group,cluster_2,10,boundary_improvement,counterfactual - none,27,19,-0.04958312482296296,-0.06020601346263157,0.010622888639668607,-0.02859454097653168,0.050683089687922483,0.5906666666666667,0.6157794837623529,0.15433390503645983,0.010622888639668607,1.0,0.886923076923077
exogenous_geometry_k2,geometry_1,15,boundary_improvement,counterfactual - none,27,19,-0.03917216986395062,-0.050162021590877195,0.010989851726926576,-0.028153371036720595,0.052147338177207916,0.5923333333333334,0.6048221434703465,0.15933136969757772,0.010989851726926576,1.0,0.946923076923077
oracle_pair_uses_age_group,no_age_pair,17,cf_demo_feature_jaccard,attribution - none,16,19,0.35134803921568625,0.37141382868937045,-0.020065789473684204,-0.08808065660474718,0.048523445562435444,0.593,0.5956829019343606,-0.17848632125250877,-0.020065789473684204,1.0,0.9370731707317074
oracle_pair_uses_age_group,no_age_pair,17,target_centroid_progress,counterfactual - attribution,27,16,0.018290138841528008,0.07696005554594337,-0.05866991670441536,-0.21016713057197903,0.0619352940513043,0.5933333333333334,0.4115585158802382,-0.21053969703201036,-0.05866991670441536,1.0,0.9370731707317074
target_label_group,No Diabetes,10,attribution_feature_overlap,attribution - none,16,19,0.37177083333333333,0.3920175438596491,-0.02024671052631577,-0.09164487390350877,0.05015186403508766,0.5953333333333334,0.5902388986491387,-0.18052018096374498,-0.02024671052631577,1.0,0.9114893617021276
nearest_same_training_distance_bucket,far_training,10,edit_l1,counterfactual - attribution,27,16,0.5198370439629463,0.47398130541159,0.04585573855135627,-0.09313029676479363,0.19677137488200508,0.6,0.5365425884434307,0.17567578303735484,-0.04585573855135627,1.0,0.9576271186440678
design_cluster_group,cluster_2,10,boundary_new,counterfactual - none,27,19,0.10642968861296297,0.11705257725263159,-0.01062288863966862,-0.05216909111236453,0.03019220977413593,0.6003333333333334,0.6157794837623525,-0.15433390503646,0.01062288863966862,1.0,0.886923076923077
prediction_confidence_bucket,higher_confidence,10,target_centroid_progress,counterfactual - none,27,19,0.10034882117183859,0.15211594717212173,-0.051767126000283145,-0.21832884217272955,0.09789765357107466,0.601,0.5320641706946415,-0.1726632704764902,-0.051767126000283145,1.0,0.9489473684210527
oracle_pair_uses_age_group,age_pair,3,target_centroid_progress,attribution - none,16,19,0.10172498374183962,0.04881068945776139,0.052914294284078234,-0.14076267082230934,0.23602475096916029,0.6013333333333334,0.5999841222228459,0.17070793883267996,0.052914294284078234,1.0,0.9370731707317074
exogenous_geometry_k2,geometry_1,15,attribution_feature_overlap,attribution - none,16,19,0.3419444444444444,0.3619298245614035,-0.019985380116959106,-0.09831249999999994,0.05389994517543855,0.6016666666666667,0.628828763992504,-0.16311081825847468,-0.019985380116959106,1.0,0.946923076923077
nearest_demo_pair_match_group,pair_differs_from_nearest_demo,14,boundary_improvement,counterfactual - attribution,27,16,0.007016096402380954,0.014643344585267858,-0.007627248182886903,-0.02977171968855779,0.010918408921374828,0.602,0.47709119689599755,-0.18272008073807686,-0.007627248182886903,1.0,0.9219607843137254
exogenous_geometry_k2,geometry_2,5,target_helpful_shap,attribution - none,16,19,0.2226114484225,0.26831946021473685,-0.04570801179223685,-0.20856881156866613,0.12216500782390126,0.6026666666666667,0.6038830702938346,-0.16928461814499252,-0.04570801179223685,1.0,0.946923076923077
target_label_group,Diabetes,10,cf_demo_feature_jaccard,attribution - none,16,19,0.30416666666666664,0.3319298245614035,-0.02776315789473688,-0.13447711074561405,0.07249862938596482,0.6056666666666667,0.6191764963315493,-0.16669698781934614,-0.02776315789473688,1.0,0.9114893617021276
nearest_demo_pair_match_group,pair_differs_from_nearest_demo,14,boundary_new,counterfactual - attribution,27,16,0.12340137227619047,0.11577412409330357,0.007627248182886903,-0.011000658021877904,0.030769075755167394,0.6056666666666667,0.47709119689599766,0.18272008073807686,-0.007627248182886903,1.0,0.9219607843137254
pair_seen_in_training_group,seen_pair,8,edit_l1,attribution - none,16,19,0.5175455676316842,0.5664491517696532,-0.048903584137968914,-0.21520410621596434,0.12035910825086149,0.6073333333333333,0.5913038682665195,-0.1737654136647598,0.048903584137968914,1.0,0.9955932203389831
control_empirical_difficulty_group,control_hard,10,target_helpful_shap,counterfactual - attribution,27,16,0.2767399911544444,0.25127186996625,0.025468121188194415,-0.06476331402505385,0.1137646121697934,0.6073333333333333,0.5741368875189439,0.1638081159067084,0.025468121188194415,1.0,0.9422222222222222
original_boundary_distance_bucket,farther_original_boundary,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.3650617283950617,0.34375,0.02131172839506168,-0.06431703317901227,0.1076453510802468,0.608,0.6221659090677948,0.16214188564700563,0.02131172839506168,1.0,0.9419512195121952
exogenous_geometry_k2,geometry_1,15,cf_demo_feature_jaccard,attribution - none,16,19,0.3419444444444444,0.3619298245614035,-0.019985380116959106,-0.09513349780701752,0.057587719298245604,0.6096666666666667,0.628828763992504,-0.16311081825847468,-0.019985380116959106,1.0,0.946923076923077
original_boundary_distance_bucket,farther_original_boundary,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.3650617283950617,0.34375,0.02131172839506168,-0.06396412037037034,0.10160484182098752,0.61,0.6221659090677948,0.16214188564700563,0.02131172839506168,1.0,0.9419512195121952
oracle_pair_uses_age_group,no_age_pair,17,target_centroid_progress,attribution - none,16,19,0.07696005554594337,0.049827692135581934,0.02713236341036144,-0.06678351964955312,0.13062310436440291,0.6133333333333333,0.6011582122889838,0.1694917859946395,0.02713236341036144,1.0,0.9370731707317074
exogenous_geometry_k2,geometry_2,5,success,counterfactual - none,27,19,0.26666666666666666,0.3157894736842105,-0.049122807017543846,-0.22105263157894733,0.13002923976608186,0.6133333333333333,0.6111184378599178,-0.1612359659138616,-0.049122807017543846,1.0,0.946923076923077
oracle_pair_uses_age_group,no_age_pair,17,boundary_improvement,counterfactual - none,27,19,-0.01914248258474946,-0.028694162742414864,0.009551680157665405,-0.026960864687105842,0.05110036235310021,0.6153333333333333,0.6500588049907263,0.14147697664873957,0.009551680157665405,1.0,0.9370731707317074
target_label_group,Diabetes,10,attribution_feature_overlap,attribution - none,16,19,0.30416666666666664,0.3319298245614035,-0.02776315789473688,-0.1255137061403509,0.07631510416666659,0.6163333333333333,0.6191764963315493,-0.16669698781934614,-0.02776315789473688,1.0,0.9114893617021276
target_label_group,No Diabetes,10,success,attribution - none,16,19,0.74375,0.6947368421052631,0.049013157894736925,-0.12671052631578958,0.21829769736842083,0.6166666666666667,0.5877041062000625,0.17725707101325125,0.049013157894736925,1.0,0.9114893617021276
nearest_same_training_distance_bucket,far_training,10,attribution_feature_overlap,counterfactual - none,27,19,0.36499999999999994,0.3453508771929825,0.019649122807017416,-0.055961257309941614,0.10052590968161132,0.6173333333333333,0.6311178694561814,0.1419428436876123,0.019649122807017416,1.0,0.9576271186440678
original_boundary_distance_bucket,farther_original_boundary,10,target_helpful_shap,attribution - none,16,19,0.297351142039375,0.33238979602105256,-0.03503865398167755,-0.17064155303926148,0.09683692181887578,0.6186666666666667,0.6170820740881378,-0.16264261039806466,-0.03503865398167755,1.0,0.9419512195121952
nearest_same_training_distance_bucket,far_training,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.36499999999999994,0.3415625,0.023437499999999944,-0.0685474537037037,0.11578414351851846,0.6223333333333333,0.6318498376304682,0.15674233036538301,0.023437499999999944,1.0,0.9576271186440678
target_label_group,Diabetes,10,cf_demo_cosine,counterfactual - none,27,19,0.28281445432250096,0.331858488092112,-0.04904403376961103,-0.2457197393274519,0.13659973489494884,0.623,0.6246570536798919,-0.14552213149486515,-0.04904403376961103,1.0,0.9114893617021276
pair_seen_in_training_group,seen_pair,8,target_centroid_progress,counterfactual - none,27,19,0.08229988807846288,0.13384459438306154,-0.05154470630459866,-0.21446725354676655,0.08322617610923856,0.6273333333333333,0.5151395979825577,-0.173059451979694,-0.05154470630459866,1.0,0.9955932203389831
nearest_same_training_distance_bucket,far_training,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.36499999999999994,0.3415625,0.023437499999999944,-0.066642650462963,0.11223003472222219,0.6276666666666667,0.6318498376304682,0.15674233036538301,0.023437499999999944,1.0,0.9576271186440678
control_empirical_difficulty_group,control_hard,10,cf_demo_feature_jaccard,attribution - none,16,19,0.3384375,0.36078947368421055,-0.022351973684210547,-0.10941570723684206,0.06707565789473685,0.629,0.635349673841511,-0.16051985365973945,-0.022351973684210547,1.0,0.9422222222222222
oracle_pair_uses_age_group,age_pair,3,attribution_feature_overlap,counterfactual - none,27,19,0.33518518518518514,0.30847953216374263,0.02670565302144251,-0.08502436647173486,0.13508338748104817,0.6296666666666667,0.643362955293141,0.14024899513971809,0.02670565302144251,1.0,0.9370731707317074
oracle_pair_uses_age_group,no_age_pair,17,boundary_new,counterfactual - none,27,19,0.12672955652592593,0.13628123668359135,-0.009551680157665415,-0.052333406274614164,0.02856192132919761,0.6316666666666667,0.6500588049907261,-0.14147697664873973,0.009551680157665415,1.0,0.9370731707317074
oracle_pair_uses_age_group,age_pair,3,boundary_improvement,counterfactual - none,27,19,0.07708044253703707,0.06629037454385965,0.010790067993177416,-0.032206004242768024,0.05352097895685665,0.6316666666666667,0.6251742706503811,0.1449882484768358,0.010790067993177416,1.0,0.9370731707317074
