participant,domain,xai,phase,explanation,original label,target label,case,instance id,response time (seconds),attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_3OLJbpwtIN5r62B,safelimit,attribution,testing,Neither,Below Limit,Above Limit,10,245,9.717,"""Alcohol Units"" - 5(0.437781109445) -> 7(0.687656171914)
""Weight"" - 77(0.543185904351)
""Drinking Duration"" - 213(0.72) -> 146(0.476363636364)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1) -> Empty(0)",3,1.49351142611,Below Limit,0,1.3624187906,0,2.88026446692e-05,2.88026446692e-05,,
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Bedrooms"" - +50% toward Expensive
""Living Area"" - -50% toward Cheap",Cheap,,1,14693,25.73,"""Living Area"" - 1190(0.110795454545)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1(0)
""Floors"" - 1(0)
""Construction Grade"" - 7(0.2)",,,,,,,,,Cheap,1
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Living Area"" - +67% toward Expensive
""Bathrooms"" - -33% toward Cheap",Expensive,,2,13350,13.122,"""Living Area"" - 2610(0.514204545455)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.75(0.636363636364)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,1
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Living Area"" - -56% toward Cheap
""Floors"" - +44% toward Expensive",Expensive,,3,2968,27.57,"""Living Area"" - 1090(0.0823863636364)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.5(0.181818181818)
""Floors"" - 1.5(0.333333333333)
""Construction Grade"" - 7(0.2)",,,,,,,,,Cheap,0
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Living Area"" - +51% toward Expensive
""Construction Grade"" - +49% toward Expensive",Expensive,,4,15034,19.116,"""Living Area"" - 2210(0.400568181818)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.25(0.454545454545)
""Floors"" - 1(0)
""Construction Grade"" - 8(0.4)",,,,,,,,,Expensive,1
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Bedrooms"" - +68% toward Expensive
""Bathrooms"" - +32% toward Expensive",Expensive,,5,4666,14.884,"""Living Area"" - 1600(0.227272727273)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.75(0.272727272727)
""Floors"" - 1(0)
""Construction Grade"" - 7(0.2)",,,,,,,,,Cheap,0
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Floors"" - +55% toward Expensive
""Bedrooms"" - +45% toward Expensive",Expensive,,6,8187,15.79,"""Living Area"" - 1680(0.25)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.5(0.181818181818)
""Floors"" - 1.5(0.333333333333)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,1
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Construction Grade"" - -72% toward Cheap
""Bedrooms"" - +28% toward Expensive",Cheap,,7,6557,13.352,"""Living Area"" - 1300(0.142045454545)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.5(0.181818181818)
""Floors"" - 1(0)
""Construction Grade"" - 6(0)",,,,,,,,,Cheap,1
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Bathrooms"" - +56% toward Expensive
""Floors"" - -44% toward Cheap",Cheap,,8,2898,14.28,"""Living Area"" - 2350(0.440340909091)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 3.5(0.909090909091)
""Floors"" - 1(0)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,0
R_5JrAewWP4QfNMDy,housing,attribution,training,"""Construction Grade"" - -62% toward Cheap
""Bathrooms"" - -38% toward Cheap",Cheap,,9,2864,14.684,"""Living Area"" - 1530(0.207386363636)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.25(0.454545454545)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,0
