participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_5QGGlhAzSiOVePL,attribution,9,32,weighted examples,0.6001285843233053,1.0,0.5,0.0471543204847803,0.19800609866666666,1.0,0.0327794457,0.9446959895,1.0,1.0,0.9358414698049604,0.9427947305002444,0.0480515650205266,0.04863702462660645
R_5QGGlhAzSiOVePL,attribution,10,56,weighted examples,0.4439372982015872,0.5,0.5,0.14755376509338106,0.20617043533333335,1.0,0.022842403,0.963705621,1.0,0.0,0.9613209501757504,0.9441380573329636,0.07944474171548108,0.1197463886539187
R_5QGGlhAzSiOVePL,attribution,11,20,weighted examples,0.586418903664675,0.5,0.5,0.18636902702469627,0.19566407453333334,0.0,0.0552198602,0.9182020071,0.0,0.0,0.959178655346219,0.9758634749480304,0.0922162834863186,0.1830230104678086
R_5QGGlhAzSiOVePL,attribution,12,12,weighted examples,0.608171079269657,0.5,0.0,0.29176452798300234,0.2724444281,1.0,0.1446865273,0.92392603,0.0,0.0,0.9437924172596274,0.9398876785900232,0.05714859237384534,0.0926062720724401
R_5QGGlhAzSiOVePL,attribution,13,31,weighted examples,0.5002936798613968,0.5,0.0,0.20330028931159894,0.13738104242500002,0.0,0.247427001,0.9214467202,0.0,0.0,0.9556379474872166,0.9421804388002316,0.11693051817944843,0.05771109371462978
R_5QGGlhAzSiOVePL,attribution,14,52,weighted examples,0.5002431890438656,0.5,0.5,0.29793416048329835,0.32857076066175933,0.0,0.0008429274,0.9106147297,0.0,0.0,0.9330513445631914,0.8895855944215919,0.27848473882365576,0.3110718700657574
R_5QGGlhAzSiOVePL,attribution,15,58,weighted examples,0.5717516539535561,0.5,0.5,0.30419169404733065,0.31905620893333336,1.0,0.3531488192,0.9149229102,1.0,1.0,0.9392445600591177,0.9481632689907193,0.02464851993502215,0.00852828161070368
R_5QGGlhAzSiOVePL,attribution,16,15,weighted examples,0.631003767166481,0.5,0.5,0.2507151453107574,0.24634752240000002,0.0,0.1761996524,0.9208757078,0.0,0.0,0.9245737096270585,0.8852720843098796,0.19594535757063203,0.10937421572937064
R_5QGGlhAzSiOVePL,attribution,17,59,weighted examples,0.41444396371557596,0.0,0.5,0.14082098004100344,0.1606400338,0.0,0.1474982317,0.9397752662,0.0,0.0,0.9480178223967851,0.9423996148171047,0.02252313925824395,0.05153078256310263
R_5QGGlhAzSiOVePL,attribution,18,51,weighted examples,0.36369794835497254,0.5,0.5,0.245118585277483,0.21048454433333333,0.0,0.2366737341,0.9273790798,0.0,0.0,0.9313918832034405,0.9131620452718767,0.034617298608980634,0.030161046551604398
R_5QGGlhAzSiOVePL,attribution,19,11,weighted examples,0.46549921337105127,0.5,1.0,0.12744156266129278,0.288314805,0.0,0.1021724337,0.9572445733,0.0,0.0,0.9578595212659671,0.9289091088592719,0.13016679205766865,0.18013924305775128
R_5QGGlhAzSiOVePL,attribution,20,0,weighted examples,0.6271919745469112,1.0,1.0,0.07792103774842409,0.28632183225,1.0,0.0665454553,0.9266730335,1.0,0.0,0.9331857778463346,0.855809227284489,0.03128346372409835,0.061079467072917275
R_5a6S4hSnNMThfbj,counterfactual,1,35,weighted examples,0.7693078022620693,1.0,0.0,0.15584039659869897,0.30930964099999997,0.0,0.3393078106,0.8949816368,0.0,0.0,0.8716603540981942,0.8941009328494868,0.3079246219436455,0.4742642975336425
R_5a6S4hSnNMThfbj,counterfactual,2,14,weighted examples,0.32867468555987855,0.5,0.5,0.09434700700464925,0.06405147966666669,0.0,0.0024206387,0.9276630321,1.0,0.0,0.9073986681944217,0.9218792528983757,0.082087380934491,0.011507072508453176
R_5a6S4hSnNMThfbj,counterfactual,3,53,weighted examples,0.7698550509791884,1.0,1.0,0.05989189778186088,0.265584084,1.0,0.0144419364,0.9405733169,1.0,0.0,0.9285949374176263,0.9300462882253672,0.005038284803353887,0.32927866587034715
R_5a6S4hSnNMThfbj,counterfactual,4,26,weighted examples,0.769069823572962,1.0,0.0,0.01765943767748207,0.21578813149999998,1.0,0.089286179,0.9572410423,1.0,0.0,0.9537091548465292,0.9394314986004275,0.02416821521632051,0.035955590559678174
R_5a6S4hSnNMThfbj,counterfactual,5,30,weighted examples,0.6253816500972255,0.0,0.0,0.16753750195555,0.266023262,0.0,0.0758073121,0.9396904132,0.0,0.0,0.8726754125006361,0.8864857608828561,0.2519364350665793,0.2417537618662109
R_5a6S4hSnNMThfbj,counterfactual,6,56,weighted examples,0.478294045664834,0.5,0.5,0.1006629294001296,0.12232195766666665,0.0,0.0027078696,0.9649445502,1.0,1.0,0.9451454375236051,0.9340038248527528,0.006421089173907157,0.04013072782078181
R_5a6S4hSnNMThfbj,counterfactual,7,33,weighted examples,0.6646975895715738,0.0,0.0,0.11332679371579538,0.1201146581,0.0,0.0458496867,0.9430380964,1.0,1.0,0.917842861802042,0.9499103247440124,0.08957934080878766,0.06470056586395556
R_5a6S4hSnNMThfbj,counterfactual,8,32,weighted examples,0.36353845857285494,1.0,0.0,0.0463858344876522,0.11789826225000001,1.0,0.0808351316,0.9215213454,1.0,1.0,0.9126945217076319,0.9070093975415482,0.11517210469650342,0.10351820813687626
R_5a6S4hSnNMThfbj,counterfactual,9,7,weighted examples,0.49375205518937737,0.0,0.0,0.14881072017597666,0.16488058449999998,0.0,0.1144799049,0.9446460117,0.0,0.0,0.9210863029685359,0.9180333836335364,0.08876616079797875,0.011091260797930214
R_5a6S4hSnNMThfbj,counterfactual,10,42,weighted examples,0.6996435608552098,1.0,0.0,0.07506242098556312,0.13501955449999997,0.0,0.0756966936,0.9554401472,0.0,0.0,0.9404276630065644,0.944351843628005,0.10181155748517867,0.021420327523615307
R_5a6S4hSnNMThfbj,counterfactual,11,59,weighted examples,0.6321701227696117,1.0,0.0,0.21711543050496945,0.24554497535000003,1.0,0.045527395,0.9452746339,1.0,0.0,0.9426609339194476,0.9276170061214525,0.006847317378818052,0.15188955188149975
R_5a6S4hSnNMThfbj,counterfactual,12,11,weighted examples,0.6770989651818468,1.0,1.0,0.20534790272883457,0.2995919061,1.0,0.1708603582,0.9330387131,0.0,0.0,0.9586810911537749,0.9767205056691914,0.043111895479305384,0.13735589885030536
R_5a6S4hSnNMThfbj,counterfactual,13,15,weighted examples,0.7095417151293076,1.0,1.0,0.32080144544574674,0.4317122938,1.0,0.0512246713,0.9258896591,0.0,0.0,0.8850121137026623,0.9011476926576483,0.2056254921916037,0.20937421572937065
R_5a6S4hSnNMThfbj,counterfactual,14,12,weighted examples,0.48844448753992425,1.0,0.5,0.12148874851142646,0.18221440206666664,0.0,0.0306191651,0.9154284347,0.0,0.0,0.9259561011143965,0.9398876785900232,0.04502643811540763,0.0926062720724401
R_5a6S4hSnNMThfbj,counterfactual,15,52,weighted examples,0.7097794519851827,1.0,0.0,0.4058759619396284,0.36032137389999996,0.0,0.0834549791,0.9199443289,0.0,0.0,0.9038684954879076,0.9020329110835759,0.256703071009311,0.30659917158126265
R_5a6S4hSnNMThfbj,counterfactual,16,51,weighted examples,0.6913172861183227,1.0,0.0,0.07293929827964118,0.19453324265,0.0,0.0088565282,0.9153121257,1.0,0.0,0.9182710138373821,0.8879446539675289,7.123508746015306e-05,0.03983479761999173
R_5a6S4hSnNMThfbj,counterfactual,17,20,weighted examples,0.5654246760023326,1.0,0.0,0.06477201189502135,0.1562744431,1.0,0.1920386709,0.9405498885,1.0,0.0,0.9470268489089044,0.9727767485105905,0.06592807404713386,0.11047950819885904
R_5a6S4hSnNMThfbj,counterfactual,18,31,weighted examples,0.7172260786819113,1.0,0.0,0.28930089151490235,0.29230573029999996,1.0,0.0758024176,0.9285572353,0.0,0.0,0.953672583149609,0.9516190608244436,0.0254337442643231,0.31707840365515966
R_5a6S4hSnNMThfbj,counterfactual,19,58,weighted examples,0.6805469280106254,1.0,1.0,0.1651570081351635,0.2740860398,1.0,0.1566668547,0.9299752983,1.0,1.0,0.9063774626577521,0.9281632689907193,0.05017771919452646,0.006248605258372508
