participant,domain,xai,original label,target label,case,instance id,attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label
R_7CymkLq1W5EbO9c,housing,attribution,Cheap,Expensive,5,577,"""Living Area"" - 1930(0.321022727273)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2(0.363636363636) -> 3(0.727272727273)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2)",2,1.0303030303,Cheap,0,0.89696969697,0.346561897239,0.247730061896,-0.0988318353432
R_7CymkLq1W5EbO9c,housing,attribution,Expensive,Cheap,6,2447,"""Living Area"" - 3190(0.678977272727) -> 2187(0.394034090909)
""Bedrooms"" - 5(1) -> 3(0.333333333333)
""Bathrooms"" - 3.5(0.909090909091) -> 3.035(0.74)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 8(0.4) -> 7(0.2)",4,1.32070075758,Expensive,0,1.12041666667,0.19821191858,0.480234264522,0.282022345941
R_7CymkLq1W5EbO9c,housing,attribution,Expensive,Cheap,7,1751,"""Living Area"" - 3600(0.795454545455) -> 1935(0.322443181818)
""Bedrooms"" - 4(0.666666666667) -> 3(0.333333333333)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 9(0.6) -> 8(0.4)",3,1.00634469697,Expensive,0,0.999526515152,0.0524975827183,0.414113229874,0.361615647156
R_7CymkLq1W5EbO9c,housing,attribution,Expensive,Cheap,8,553,"""Living Area"" - 3040(0.636363636364) -> 1768(0.275)
""Bedrooms"" - 4(0.666666666667) -> 3(0.333333333333)
""Bathrooms"" - 2.75(0.636363636364) -> 1.99(0.36)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 9(0.6) -> 8(0.4)",4,1.17106060606,Expensive,0,1.09520833333,0.0930185614867,0.275165559681,0.182146998195
R_7CymkLq1W5EbO9c,housing,attribution,Expensive,Cheap,9,172,"""Living Area"" - 1290(0.139204545455)
""Bedrooms"" - 2(0)
""Bathrooms"" - 2.5(0.545454545455) -> 2.0175(0.37)
""Floors"" - 3(1) -> 2(0.666666666667)
""Construction Grade"" - 8(0.4) -> 7(0.2)",3,0.708787878788,Cheap,1,0.709071969697,0.256568711116,0.752695530522,0.496126819406
R_7CymkLq1W5EbO9c,housing,attribution,Expensive,Cheap,10,2728,"""Living Area"" - 2160(0.386363636364) -> 1684(0.251136363636)
""Bedrooms"" - 3(0.333333333333) -> 2(0)
""Bathrooms"" - 2.5(0.545454545455) -> 2.0175(0.37)
""Floors"" - 3(1) -> 2(0.666666666667)
""Construction Grade"" - 8(0.4) -> 7(0.2)",5,1.17734848485,Expensive,0,0.977064393939,0.101627349659,0.428979755706,0.327352406047
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap,Expensive,1,3174,"""Living Area"" - 1100(0.0852272727273)
""Bedrooms"" - 1(0)
""Bathrooms"" - 1.25(0.0909090909091) -> 2.0175(0.37)
""Floors"" - 3(1)
""Construction Grade"" - 9(0.6) -> 10(0.8)",2,0.479090909091,Expensive,1,0.279375,0.405495881814,0.899989701353,0.494493819539
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap,Expensive,2,2275,"""Living Area"" - 1530(0.207386363636) -> 2061(0.358238636364)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 3.25(0.818181818182)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 8(0.4) -> 9(0.6)",2,0.350852272727,Expensive,1,0.241761363636,0.486463617766,0.88892080537,0.402457187604
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap,Expensive,3,675,"""Living Area"" - 920(0.0340909090909)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1(0)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 6(0) -> 8(0.4)",2,1.06666666667,Cheap,0,0.760132575758,0.0650342540676,0.26781841476,0.202784160693
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap,Expensive,4,102,"""Living Area"" - 1700(0.255681818182)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 1.75(0.272727272727) -> 3.31(0.84)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2)",2,1.23393939394,Cheap,0,1.10060606061,0.275833056192,0.349436122079,0.0736030658866
