participant,domain,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_1FwylBEbSuK0oNf,diabetes,counterfactual,2,33,feature contribution,0.46827227636798124,0.0,0.0,0.11029968725272116,0.104054054,0.0,0.1133635263,0.9243169052,1.0,1.0,0.914163828130508,0.9551277160483601,0.11564633608278763,0.04802266642767078
R_1FwylBEbSuK0oNf,diabetes,counterfactual,3,32,feature contribution,0.46827227636798124,1.0,0.0,0.12372842230634223,0.054250977500000006,0.0,0.0809907381,0.927077423,1.0,1.0,0.9155738681423375,0.9227947305002444,0.04586509160381913,0.010690734383481393
R_1FwylBEbSuK0oNf,diabetes,counterfactual,4,14,feature contribution,0.46827227636798124,0.0,0.0,0.24649581560516912,0.10405405399999998,0.0,0.0712120655,0.9106418098,1.0,0.0,0.9087345717366153,0.9418792528983757,0.041067340512412676,0.040112881971640535
R_1FwylBEbSuK0oNf,diabetes,counterfactual,5,35,feature contribution,0.46827227636798124,1.0,0.0,0.3349815354618478,0.05425097749999999,0.0,0.5609171189,0.8724005418,0.0,0.0,0.8755194330860848,0.8821031998198638,0.31284507162856195,0.4260344978991623
R_1FwylBEbSuK0oNf,diabetes,counterfactual,6,53,feature contribution,0.5395991388915281,0.5,0.5,0.11548652025894128,0.05668790466666666,0.0,0.2218474351,0.9229292805,0.0,0.0,0.9297629473925595,0.9278084048328584,0.1050703688356891,0.14562815071307175
R_1FwylBEbSuK0oNf,diabetes,counterfactual,7,42,feature contribution,0.46827227636798124,1.0,0.0,0.05605221991746168,0.05425097749999999,0.0,0.0338438985,0.931269626,0.0,0.0,0.9343431603871694,0.944351843628005,0.1076648506065363,0.021420327523615307
R_1FwylBEbSuK0oNf,diabetes,counterfactual,8,30,feature contribution,0.46827227636798124,1.0,0.0,0.0007469108252118276,0.017764491013513514,0.0,0.244128279,0.8847853698,0.0,0.0,0.8849347520478984,0.8810803554774507,0.2495088060412109,0.21385332973650534
R_1FwylBEbSuK0oNf,diabetes,counterfactual,9,56,feature contribution,0.5395991388915281,0.5,0.5,0.06194265875779248,0.0808800933333333,0.0,0.0375905242,0.9465641965,0.0,1.0,0.9367332200421896,0.9544403707857603,0.011627687127404696,0.034732794070368306
R_1FwylBEbSuK0oNf,diabetes,counterfactual,10,26,feature contribution,0.46827227636798124,1.0,0.0,0.1850045001035425,0.05850195549999999,0.0,0.0634431262,0.9424557652,0.0,1.0,0.931327472002734,0.9606391560588501,0.083159160329881,0.05271005119622266
R_1FwylBEbSuK0oNf,diabetes,counterfactual,11,15,feature contribution,1.0,1.0,1.0,0.0,0.0,0.0,0.2769489345,0.8811476927,0.0,0.0,0.8811476926576483,0.8811476926576483,0.22609013263983882,0.22609013263983882
R_1FwylBEbSuK0oNf,diabetes,counterfactual,12,59,feature contribution,0.46827227636798124,1.0,0.0,0.03553739651770403,0.05425097769999999,0.0,0.082837181,0.945916615,0.0,0.0,0.9480996908140805,0.9623996148171047,0.04117141953301484,0.04283183314783964
R_1FwylBEbSuK0oNf,diabetes,counterfactual,13,20,feature contribution,0.46827227636798124,1.0,0.0,0.0008088208951206148,0.0542509777,0.0,0.0784929194,0.9544771396,0.0,0.0,0.9546389037696147,0.9562767274808285,0.07253802686679217,0.07726064312596054
R_1FwylBEbSuK0oNf,diabetes,counterfactual,14,12,feature contribution,0.5395991388915281,0.5,0.5,0.06191479422373486,0.05945085293333333,0.0,0.0463754507,0.9042171668,0.0,1.0,0.9413660433642641,0.9048369485727007,0.061151388030005416,0.009183321714979709
R_1FwylBEbSuK0oNf,diabetes,counterfactual,15,58,feature contribution,0.46827227636798124,0.0,0.0,0.03720791709904554,0.0609721832,0.0,0.1040868297,0.9373444059,0.0,0.0,0.9278386994730133,0.9251499692733951,0.031859875815084315,0.037099176329349615
R_1FwylBEbSuK0oNf,diabetes,counterfactual,16,31,feature contribution,0.46827227636798124,1.0,0.0,0.19799543094577157,0.05425097769999999,0.0,0.2672798239,0.9509123319,0.0,0.0,0.9514352196974742,0.9621804388002316,0.014461715061085179,0.2267923338408947
R_1FwylBEbSuK0oNf,diabetes,counterfactual,17,51,feature contribution,0.46827227636798124,1.0,0.0,0.0034126572339456783,0.05850195544999999,0.0,0.0910496432,0.904357088,0.0,0.0,0.9036745565435523,0.8879446539675289,0.04626633798671645,0.03983479761999173
R_1FwylBEbSuK0oNf,diabetes,counterfactual,18,52,feature contribution,0.46827227636798124,1.0,0.0,0.09813375671567524,0.054250977700000015,0.0,0.3436233911,0.92033252,0.0,0.0,0.9007057686604408,0.9420329110835759,0.32657010603443315,0.3813525846383232
R_1FwylBEbSuK0oNf,diabetes,counterfactual,19,11,feature contribution,0.46827227636798124,1.0,1.0,0.07138949947611838,0.09149804459999998,0.0,0.2602522589,0.9584208968,0.0,0.0,0.972698796644415,0.9767205056691914,0.15746444397430537,0.13735589885030536
R_1FwylBEbSuK0oNf,diabetes,counterfactual,20,0,feature contribution,0.46827227636798124,1.0,0.0,0.0065713125030409,0.0542509777,0.0,0.012408081,0.8586718279,0.0,0.0,0.859986090379723,0.8756225614949796,0.02363619215109858,0.013631053068592802
