participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_1LqFEhCUBdcfUxb,attribution,19,130304,feature contribution,0.22012692246763502,0.5,0.5,0.19235766496721243,0.15622774397533334,1.0,0.0216392665292,0.948074719006,0.0,1.0,0.9783220474048725,0.96,0.05075843182122952,0.03590510836905475
R_1LqFEhCUBdcfUxb,attribution,20,130305,feature contribution,0.2655261991010672,0.3333333333333333,0.6666666666666666,0.14211655982821675,0.19265610554606502,0.0,0.087409800166,0.947716765699,0.0,0.0,0.9853702699334456,0.9400000000000001,0.10632357334441045,0.10338790809090054
R_1hM8ZPOQNryYfzQ,counterfactual,1,130204,weighted examples,0.26116585031848116,1.0,0.4,0.1960612120562514,0.130456454383725,1.0,0.101421729143,0.915101740321,1.0,0.0,0.9490865535570674,0.96,0.086524044842968,0.10503298852095634
R_1hM8ZPOQNryYfzQ,counterfactual,2,130200,weighted examples,0.4644878659300925,1.0,0.6666666666666666,0.18547069777799186,0.1382728256165,0.0,0.0444302997872,0.910135689055,1.0,0.0,0.9587171444800602,0.9059557341464513,0.1338391702914944,0.08247080020648034
R_1hM8ZPOQNryYfzQ,counterfactual,3,130201,weighted examples,0.4884781007607515,0.5,0.0,0.2134977276527259,0.17557645228625002,1.0,0.0472006950849,0.936360700628,0.0,0.0,0.9333326738917038,0.9078552561530397,0.0780658699850299,0.032611700629889495
R_1hM8ZPOQNryYfzQ,counterfactual,4,130205,weighted examples,0.34933834406852543,0.5,0.5,0.33073343098206653,0.113060688643,0.0,0.00971570683558,0.900601907131,1.0,0.0,0.916978073159482,0.9219216006731586,0.16171318457996545,0.04988260900996466
R_1hM8ZPOQNryYfzQ,counterfactual,5,130206,weighted examples,0.2793782203048559,0.6666666666666666,0.6666666666666666,0.13319113345111416,0.21274760784225002,1.0,0.0862208709922,0.954533581947,1.0,1.0,0.9284965987346743,0.94,0.08943167232737842,0.010424172426195394
R_1hM8ZPOQNryYfzQ,counterfactual,6,130203,weighted examples,0.43855040215085667,1.0,1.0,0.04204689153260299,0.3842556531515,0.0,0.00423578333487,0.960028745432,1.0,0.0,0.9616530112379433,0.9049583647624666,0.04180789972710858,0.13774625651500985
R_1hM8ZPOQNryYfzQ,counterfactual,7,130207,weighted examples,0.3557010979078701,0.5,0.0,0.17636262430209318,0.22975166897075003,1.0,0.0393729673214,0.937771086376,1.0,0.0,0.9313791761753465,0.96,0.1211608778815303,0.08543420864964807
R_1hM8ZPOQNryYfzQ,counterfactual,8,130208,weighted examples,0.32889134185129104,0.0,0.0,0.1907654022889786,0.11156880711450001,1.0,0.0655322233001,0.950744954308,1.0,0.0,0.9287258743877719,0.96,0.12235685196857815,0.055168286685558815
R_1hM8ZPOQNryYfzQ,counterfactual,9,130209,weighted examples,0.3345800468186202,0.5,0.5,0.15647734207356137,0.2816402120313333,1.0,0.181344079034,0.933952922022,1.0,0.0,0.963070003144691,0.96,0.05786536137774553,0.11730610974284453
R_1hM8ZPOQNryYfzQ,counterfactual,10,130202,weighted examples,0.3898613477095787,1.0,0.3333333333333333,0.09430893948934314,0.19761242982240002,1.0,0.182377816729,0.941750466832,1.0,0.0,0.9282136116195202,0.9312511690541578,0.11273918925772608,0.20445281400156243
R_1hM8ZPOQNryYfzQ,counterfactual,11,130304,weighted examples,0.28595210120829484,0.5,0.5,0.17478627669102928,0.13908405032,0.0,0.166325849983,0.928519304059,0.0,0.0,0.9701621804236866,0.96,0.107883350500532,0.12719669511138615
R_1hM8ZPOQNryYfzQ,counterfactual,12,130308,weighted examples,0.44284888261378946,0.0,0.0,0.18226783689099424,0.18951116809699997,0.0,0.316692812829,0.893810815757,0.0,0.0,0.9506941247926145,0.9618929418396408,0.13057716727671656,0.01788711688049202
R_1hM8ZPOQNryYfzQ,counterfactual,13,130305,weighted examples,0.478492937525874,0.5,1.0,0.28901411899684676,0.1870093551725,0.0,0.169309580312,0.925196257931,0.0,0.0,0.9477025568749912,0.96,0.070336910774916,0.16914003364414645
R_1hM8ZPOQNryYfzQ,counterfactual,14,130301,weighted examples,0.39680412370671936,0.5,0.5,0.17297954609200694,0.170504144117,0.0,0.0740425320876,0.928478999799,0.0,0.0,0.9413951326930113,0.96,0.07433721223118456,0.11848824564120983
R_1hM8ZPOQNryYfzQ,counterfactual,15,130303,weighted examples,0.5303291199335016,0.5,0.0,0.13959615650887988,0.155301281769,0.0,0.300720170151,0.925520866617,0.0,0.0,0.9549753048262982,0.9762767274808285,0.11518233278132878,0.0010612148300446211
R_1hM8ZPOQNryYfzQ,counterfactual,16,130306,weighted examples,0.2455006545850706,0.5,0.0,0.17508673150368373,0.18299056052275,0.0,0.197687092667,0.927928945821,0.0,0.0,0.9473268819062961,0.96,0.18604372250212078,0.02351627091792903
R_1hM8ZPOQNryYfzQ,counterfactual,17,130302,weighted examples,0.38932009974847626,0.5,0.0,0.25169045202487744,0.18001730912025,1.0,0.0617843464993,0.920920380118,0.0,0.0,0.9184522396362725,0.96,0.07949237744674575,0.2455098474956889
R_1hM8ZPOQNryYfzQ,counterfactual,18,130309,weighted examples,0.3695251618177536,0.5,1.0,0.2997546640967135,0.08528922420950003,1.0,0.101356690651,0.910274767228,0.0,1.0,0.9340139365184025,0.8763259494831049,0.08440436850337751,0.008756436838285753
R_1hM8ZPOQNryYfzQ,counterfactual,19,130300,weighted examples,0.6623935078557496,0.0,0.0,0.1827472390968895,0.1273323434795,0.0,0.0113332028269,0.969067062608,0.0,0.0,0.9591058536292789,0.98,0.08102052305240845,0.05254335021903178
R_1hM8ZPOQNryYfzQ,counterfactual,20,130307,weighted examples,0.3148095873745629,0.0,0.5,0.2615961080373784,0.2112843120743333,1.0,0.0302476849481,0.888736425265,0.0,0.0,0.9426195824140049,0.96,0.026412560083486247,0.048483304575161146
R_1pGdgoCSR9w8u5j,counterfactual,1,130208,feature contribution,1.0,1.0,1.0,0.15015622627134476,0.095432963788775,1.0,0.263437675538,0.935288376486,0.0,1.0,0.9466465560095014,0.9442277995560715,0.05088677969478872,0.012945809971509903
