participant,domain,xai,direction,case,instance,valid,margin_pp,boundary_progress_pp,change_l1,n_changed
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,2,2275,0,-44.5664,-43.2127,1.632235,4
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,3,675,1,35.3633,78.8599,2.497159,5
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,4,102,0,-43.0335,-20.6168,0.786061,3
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,5,577,1,46.5187,61.8625,1.810417,4
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,1,2447,0,-20.2086,9.9702,0.328068,2
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,2,1751,1,11.8655,56.6157,0.610227,2
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,3,553,1,29.7197,70.4179,1.052652,3
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,4,172,1,36.8594,61.2026,1.333333,1
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,5,2728,0,-14.8272,25.0101,1.333333,1
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,1,3174,1,49.0576,58.5080,1.480644,3
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,2,2275,1,41.6874,43.0410,0.338352,1
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,3,675,1,41.8247,85.3213,2.342898,5
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,4,102,1,31.7292,54.1459,0.698977,3
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,5,577,1,40.6864,56.0302,0.559091,2
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,1,3174,0,-28.4469,-18.9965,1.333333,1
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,2,2275,0,-9.1164,-7.7628,0.711515,2
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,3,675,0,-41.3387,2.1579,0.432386,1
R_5g6goAxW0POnfXS,housing,counterfactual,Cheap to Expensive,4,102,0,-9.8274,12.5893,0.500227,2
