participant,xai,model family,eta,alpha,rho,lambda,beta,k,in-sample combined loss,in-sample selection F1,in-sample amount MAE,in-sample direction accuracy,5-fold CV combined loss,5-fold CV selection F1,5-fold CV amount MAE,5-fold CV direction accuracy,selected family by CV
R_6a94wM1ITk1h1po,attribution,feature contribution,1.0,1.0,0.5,nan,nan,observed per instance,0.38361711604314835,0.4749999999999999,0.24223423208629669,0.7,0.4126311069201349,0.425,0.25026221384026975,0.6833333333333333,1
R_6a94wM1ITk1h1po,attribution,weighted examples,0.0,nan,0.5,0.0,0.0,observed per instance,0.43507142886708267,0.3916666666666667,0.261809524400832,0.8333333333333334,0.43507142886708267,0.3916666666666666,0.26180952440083205,0.85,0
R_6cUF1Fm2Jhe3Mu6,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.502372766523017,0.15,0.15474553304603395,1.0,0.5324943786143014,0.1,0.1649887572286026,1.0,0
R_6cUF1Fm2Jhe3Mu6,none,weighted examples,0.0,nan,0.5,6.0,0.0,observed per instance,0.47229338558901757,0.2,0.1445867711780352,0.75,0.47229338558901757,0.2,0.1445867711780352,0.8333333333333333,1
R_6g7evPfeN1c1uOR,counterfactual,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.3374764162870355,0.4333333333333333,0.10828616590740445,1.0,0.394360570399528,0.3083333333333333,0.09705447413238921,1.0,0
R_6g7evPfeN1c1uOR,counterfactual,weighted examples,1.0,nan,0.5,6.0,1.0,observed per instance,0.30893587945601714,0.4416666666666666,0.059538425578700906,0.7222222222222222,0.33551335471500326,0.3916666666666666,0.0626933760966732,0.7666666666666666,1
R_6glWsdr4qttHZT3,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.4075344835087624,0.36666666666666664,0.18173563368419152,0.9583333333333334,0.40753448350876254,0.36666666666666664,0.1817356336841915,0.9666666666666668,0
R_6glWsdr4qttHZT3,none,weighted examples,0.0,nan,0.5,6.0,0.0,observed per instance,0.31672659396661185,0.525,0.1584531879332237,1.0,0.33066540060717614,0.5,0.16133080121435223,1.0,1
R_6je4Jj1MX2gnjbr,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.428979158693524,0.3416666666666666,0.1996249840537147,0.6923076923076923,0.44142444484380744,0.3166666666666666,0.19951555635428156,0.75,0
R_6je4Jj1MX2gnjbr,none,weighted examples,0.0,nan,0.5,6.0,0.0,observed per instance,0.3674396891804802,0.4666666666666667,0.2015460450276271,0.78125,0.3674396891804802,0.4666666666666666,0.20154604502762705,0.8,1
R_7B5Jtq7sogkM7FU,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.31587760777783525,0.5499999999999999,0.18175521555567048,0.7395833333333333,0.31587760777783525,0.5499999999999999,0.18175521555567045,0.6916666666666667,0
R_7B5Jtq7sogkM7FU,none,weighted examples,0.0,nan,0.5,2.0,0.0,observed per instance,0.28098986950763877,0.6333333333333332,0.19531307234861095,0.850877192982456,0.2925346872278465,0.6166666666666665,0.2017360411223597,0.8583333333333332,1
R_7O03wKSKIbtilNG,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.44905844286177576,0.3208333333333333,0.21895021905688491,0.9333333333333332,0.47896750606681004,0.2708333333333333,0.22876834546695357,0.9166666666666666,0
R_7O03wKSKIbtilNG,none,weighted examples,0.0,nan,0.5,2.0,0.0,observed per instance,0.432962617342909,0.3625,0.22842523468581805,0.9242424242424242,0.4449905680925563,0.3375,0.22748113618511262,0.9166666666666666,1
R_7ezzz3LznpZsi4S,counterfactual,feature contribution,0.5,1.0,0.5,nan,nan,observed per instance,0.34545174348469493,0.6220238095238095,0.31292729649319934,0.7037037037037036,0.3675534552552283,0.5845238095238094,0.31963072003426624,0.6805555555555556,0
R_7ezzz3LznpZsi4S,counterfactual,weighted examples,1.0,nan,0.5,6.0,0.0,observed per instance,0.3407073765187992,0.625,0.30641475303759835,0.5509259259259258,0.36044063314900454,0.5791666666666666,0.30004793296467575,0.5166666666666667,1
R_7mjEPKd4gNiFctJ,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.5045105690417391,0.15,0.15902113808347806,1.0,0.5045105690417391,0.15,0.15902113808347806,1.0,0
R_7mjEPKd4gNiFctJ,none,weighted examples,0.0,nan,0.5,0.0,0.0,observed per instance,0.34353745093211757,0.45,0.13707490186423515,1.0,0.36861314834112935,0.4,0.1372262966822586,1.0,1
R_7rpfPxPpvihQdSp,counterfactual,feature contribution,1.0,0.0,0.5,nan,nan,observed per instance,0.28557334682844204,0.55,0.12114669365688405,0.84375,0.3262051875430955,0.475,0.12741037508619105,0.8833333333333334,0
R_7rpfPxPpvihQdSp,counterfactual,weighted examples,1.0,nan,1.0,2.0,0.5,observed per instance,0.25567352947043076,0.6,0.11134705894086153,0.9411764705882353,0.32163141962777597,0.4833333333333333,0.12659617258888534,0.9333333333333333,1
R_7wiYsAy6cA2mUR1,attribution,feature contribution,1.0,1.0,0.5,nan,nan,observed per instance,0.3625025788545998,0.48666666666666664,0.21167182437586604,0.96875,0.4159302994729496,0.3866666666666666,0.2185272656125659,0.9666666666666666,1
R_7wiYsAy6cA2mUR1,attribution,weighted examples,0.5,nan,0.5,6.0,0.0,observed per instance,0.4042642587000665,0.425,0.23352851740013278,0.6923076923076923,0.43291648443968916,0.375,0.24083296887937838,0.5666666666666667,0
