participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3dnediamQ206QWR,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.31092958116947866,0.5799131581439363,0.20177232048289367,0.631578947368421,1.4571727979011824,0.31092958116947866,0.5799131581439363,0.20177232048289367,0.6333333333333333,1.4571727979011821,1
R_3dnediamQ206QWR,attribution,weighted examples,observed per instance,0.0,nan,0.5,2.0,0.0,1,0.36353363272331474,0.4832428059380264,0.21031007138465596,0.5646541140075915,1.9365552881514294,0.3695241230598548,0.46830986028517546,0.20735810640488514,0.5223253094795695,2.0661703106780664,0
R_3dxYvw8kqqJYsmL,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.18272548489893853,0.7349466614871701,0.10039763128504726,1.0,1.060121405321124,0.18657917965373916,0.7271013030614597,0.10025966236893809,1.0,1.1014240478070685,1
R_3dxYvw8kqqJYsmL,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.20883724336901527,0.6715168626262538,0.0891913493642843,0.9078554685882718,1.4992908945696966,0.20883724336901524,0.6715168626262538,0.0891913493642843,0.9078554685882718,1.4992908945696963,0
R_3irfiuQFDddFGoo,counterfactual,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.3195560747091392,0.5784618030185105,0.217573952436789,0.866954356691062,1.7782872711845166,0.3231163723308848,0.5693565349739143,0.21558927963568375,0.866954356691062,1.8541335686459035,0
R_3irfiuQFDddFGoo,counterfactual,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.29098804573471565,0.6511228561634587,0.23309894763288988,0.6933617448573183,1.5617560997866344,0.3084161449583214,0.6139585951717104,0.2307908850883532,0.7362550206996649,1.728327643865493,1
R_3oGxWzvzrZAX87o,counterfactual,feature contribution,observed per instance,1.0,0.0,0.5,nan,nan,1,0.3478529514404212,0.5113427866143071,0.20704868949514948,0.944263340416024,2.2601933718071576,0.3442554383564343,0.5212514878458618,0.2097623645587304,0.9423082347035152,3.4667925639895643,1
R_3oGxWzvzrZAX87o,counterfactual,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.5,1,0.3542941666257564,0.5006756747152121,0.2092640079667249,0.8258730451485825,2.2308626006253993,0.3695875524465103,0.47771323910669744,0.2168883439997181,0.7979292833535938,3.644991668508493,0
R_3obc8KIkN9SGl0t,attribution,feature contribution,observed per instance,1.0,0.5,0.5,nan,nan,1,0.39675563841781686,0.42225856398374606,0.21576984081937972,0.7580023809289973,2.565254585033389,0.38659340670384273,0.44182693989698285,0.21501375330466846,0.7793395221107622,3.6879534004234515,0
R_3obc8KIkN9SGl0t,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,0.4086082179097773,0.42383090350853847,0.24104733932809325,0.612458258044111,2.4890714484055034,0.40335067198014496,0.4365497148451277,0.24325105880541784,0.5996661112072978,3.650666779723443,1
R_3u3Hr91OxYQ7j2h,none,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,0.349571920276721,0.4577044122449253,0.1568482527983673,0.5789473684210527,1.6202995327412968,0.37670906278138155,0.41526697619736874,0.1686851017601319,0.5833333333333333,1.7567160587645927,0
R_3u3Hr91OxYQ7j2h,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.3486031267808688,0.46126480867789843,0.15847106223963603,0.8378307259200302,1.512488843056639,0.3486031267808688,0.46126480867789843,0.158471062239636,0.8378307259200304,1.5124888430566392,1
R_502VKXs2OjYkMTQ,none,feature contribution,observed per instance,0.0,1.0,1.0,nan,nan,0,0.33980736147827295,0.6353126581742482,0.3149273811307943,0.5263157894736842,1.579330756982526,0.3433445207497802,0.629166737724581,0.3158557792241413,0.5333333333333333,1.678684685734209,0
R_502VKXs2OjYkMTQ,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.32958254633555123,0.6468720787618814,0.3060371714329838,0.7263473519106636,1.4926900496657427,0.33123689361046976,0.6468720787618812,0.3093458659828209,0.7263473519106636,1.4926900496657427,1
R_52EcHdeCk0DGfHz,counterfactual,feature contribution,observed per instance,1.0,0.0,0.5,nan,nan,1,0.27996975665095564,0.5413123615968122,0.10125187489872342,0.7285101211412713,2.258786319419184,0.2894448990173942,0.5213519684108748,0.1002417664456631,0.7199057735935853,2.418620888283944,0
R_52EcHdeCk0DGfHz,counterfactual,weighted examples,observed per instance,1.0,nan,0.5,6.0,0.5,1,0.2718342411127639,0.5327021565941533,0.0763706388196809,0.8356038495204372,2.2594947647879984,0.27409393377838304,0.5289487176765967,0.07713658523336267,0.8329015174974073,2.3236037668056726,1
R_55tIhWzHfQVe7nG,counterfactual,feature contribution,observed per instance,1.0,1.0,1.0,nan,nan,0,0.24228999548357413,0.6633326520713416,0.1479126430384898,0.8424486650673801,1.0582301185254734,0.24228999548357413,0.6633326520713416,0.14791264303848986,0.8460578357416839,1.0582301185254732,1
