cohort,xai,xai label,parameter,parameter label,parameter value,metric,metric label,applicable participants,mean,95% bootstrap CI low,95% bootstrap CI high
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,success,Counterfactual success rate,17,0.5588235294117647,0.4852941176470588,0.626470588235294
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,target confidence gain,Target-confidence gain,17,0.5359144186402088,0.4666906790607065,0.5994848722420509
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,boundary improvement,Boundary-distance improvement,17,-0.005847708936107921,-0.031043641611070937,0.01659344314801845
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,plausibility,Plausibility,17,0.9376953221406514,0.930223952957797,0.9442601354052146
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,actionability,Actionability rate,17,0.8058823529411765,0.6205882352941177,0.9558823529411765
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,edit L1,Normalized edit distance (L1),17,0.48239174989021694,0.4020017622385955,0.5592745126642019
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,success,Counterfactual success rate,17,0.5352941176470588,0.4763970588235294,0.5970588235294116
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,target confidence gain,Target-confidence gain,17,0.5250206895172436,0.46774544399923595,0.5823132703749946
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,boundary improvement,Boundary-distance improvement,17,0.011530148223544387,-0.014580458077798364,0.03466756045577611
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,plausibility,Plausibility,17,0.9387885121107094,0.9291333131630155,0.9466422203855719
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,actionability,Actionability rate,17,0.8970588235294118,0.788235294117647,0.9823529411764705
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.5,edit L1,Normalized edit distance (L1),17,0.5044644629161723,0.42446256447166975,0.5824150588960227
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,success,Counterfactual success rate,17,0.6000000000000001,0.50875,0.6882352941176471
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,target confidence gain,Target-confidence gain,17,0.5774671548411793,0.4996377689122934,0.6476066765404411
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),1.0,boundary improvement,Boundary-distance improvement,17,0.02326124056777055,-0.003193588776497122,0.0464158901276514
