participant,domain,xai,testing cases,memory variant,model family,k,attention rate,xai weight,specificity,alpha,rho,beta,memory decay,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_5CNiW73tAkn7Lk5,diabetes,none,20,memory variation,feature contribution,observed per instance,0.25,0.0,2.0,1.0,0.1,nan,0.0,0,0.2638113770595636,0.6085650712673718,0.1361878253864989,1.0,1.0844461453661034,0.2662371613881562,0.6084695941733393,0.14094391694965175,1.0,1.087141110267251,1
R_5CNiW73tAkn7Lk5,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.05,0.0,0.0,0,0.26112913601122256,0.5887189906433005,0.11097726266574566,0.925,1.4076034130913961,0.2649476468148223,0.5887189906433006,0.11861428427294503,0.925,1.4076034130913961,0
R_5CNiW73tAkn7Lk5,diabetes,none,20,perfect memory,feature contribution,observed per instance,1.0,0.0,6.0,0.5,0.1,nan,nan,0,0.27205248700799334,0.58811808318442,0.13222305720040683,1.0,1.3731130016154107,0.29597625693734597,0.5460222484262751,0.13797476230096692,1.0,1.608754824507983,0
R_5CNiW73tAkn7Lk5,diabetes,none,20,perfect memory,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.1,0.0,nan,0,0.26110468544603493,0.588397773274724,0.11060714416679396,0.925,1.4107261459388318,0.26473813214988906,0.588397773274724,0.11787403757450202,0.925,1.4107261459388318,1
R_5F38MGbZJklp6TP,diabetes,attribution,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,4.0,0,0.4217084310853264,0.375,0.2184168621706529,0.6,1.5484804043631564,0.42170843108532646,0.375,0.2184168621706529,0.6,1.5484804043631564,1
R_5F38MGbZJklp6TP,diabetes,attribution,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,0.0,0.0,0,0.39563998643859233,0.3030439260301979,0.09432389890738263,0.775,2.326797875395804,0.4230723518970697,0.27593338125256156,0.12207808504670097,0.75,2.591749286305544,0
R_5F38MGbZJklp6TP,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,nan,0,0.4489926854951264,0.375,0.27298537099025283,0.6,1.5484804043631564,0.4489926854951264,0.375,0.2729853709902529,0.6,1.5484804043631564,1
R_5F38MGbZJklp6TP,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,1.0,1.0,2.0,nan,0.0,0.0,nan,0,0.3944222080660071,0.30230303593754043,0.09114745206955469,0.75,2.3180425124082396,0.395952490495764,0.2995319258063257,0.09143690679785363,0.75,2.3493715626238685,0
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,0.0,6.0,1.0,0.0,nan,4.0,1,0.40745092296253854,0.42792813250897455,0.24282997843405146,0.5,1.418638838121375,0.41044148382975393,0.4209862827428486,0.24186925040235638,0.5,1.4534070790052276,1
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.0,1.0,0.0,1,0.46526596665883113,0.2628543049336365,0.1933862382512986,0.4333333333333334,2.410328067044847,0.4789626602550001,0.23380502077035495,0.19173034128035518,0.4333333333333333,2.555490508867322,0
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,1.0,0.0,6.0,1.0,0.0,nan,nan,1,0.43037794494952875,0.4049219787390389,0.2656778686380966,0.5,1.5488102164239856,0.4422369399556251,0.39442978916488547,0.27890366907613573,0.5,1.6179834615389133,1
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.0,1.0,nan,1,0.46913007219684777,0.2536530313434082,0.19191317573710404,0.4333333333333334,2.4841734409477536,0.49554717642823365,0.2032530688163642,0.1943474216728315,0.4083333333333333,2.7930841154654127,0
R_5cuU4NG0z68t0DW,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,1.0,0.0,0.5,0.05,nan,0.5,0,0.2343160353219888,0.6806091558955228,0.1492412265395004,0.7999999999999999,1.1471437074409958,0.23913255358904636,0.6727500814157943,0.151015188593887,0.7999999999999999,1.1985488709047107,1
R_5cuU4NG0z68t0DW,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,0.0,2.0,0,0.2526716013986214,0.6510436819117383,0.15638688470898102,0.7083333333333333,1.4081672955379618,0.25923899296635816,0.633100071097374,0.15157805703009028,0.7166666666666666,1.5683347521601203,0
R_5cuU4NG0z68t0DW,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.25,1.0,0.0,0.0,0.05,nan,nan,0,0.2503870851605317,0.6525258450735565,0.15330001539461993,0.7166666666666666,1.3406377040018644,0.2530837939210265,0.6418212617235044,0.14798884956555736,0.7416666666666666,1.428889949070286,1
R_5cuU4NG0z68t0DW,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.5,1.0,6.0,nan,0.1,0.5,nan,0,0.24271383348737707,0.6342648059838356,0.11969247295858987,0.85,1.589573328520261,0.25408281902597607,0.610386389642871,0.11855202769482313,0.8416666666666666,1.8124476252456805,0
R_5gkJQXcSCkjRBmu,diabetes,none,20,memory variation,feature contribution,observed per instance,1.0,0.0,2.0,0.5,0.2,nan,0.0,0,0.1977155991553647,0.7130942948158492,0.10852549312657862,1.0,0.8473771882194774,0.19992708841451376,0.7130942948158492,0.11294847164487676,1.0,0.8473771882194774,1
R_5gkJQXcSCkjRBmu,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.15,0.0,0.0,0,0.21469610325229582,0.668239521827389,0.09763172833198082,0.95,1.1371902780238936,0.219276456297208,0.6682395218273891,0.10679243442180508,0.95,1.1371902780238936,0
R_5gkJQXcSCkjRBmu,diabetes,none,20,perfect memory,feature contribution,observed per instance,1.0,0.0,2.0,0.0,0.2,nan,nan,0,0.2126778684317478,0.6934695648676343,0.11882530173112997,0.9583333333333334,1.0254389434030196,0.22013926081349436,0.680636801058715,0.12091532268570382,0.9583333333333334,1.062366793601754,1
